value	description
A	ASSIGNED BREEDING PROTOCOL
C	CULL
H	HELD FROM MATING ACTIVITY
M	MULTI-MALE
P	PROJECT BREEDING
Q	TESTING AS BREEDER
S	SINGLE MALE HAREM
T	TIME-MATED
0	NOT ASSIGNED
