value	description
PHOTOGRAPHY	Any image from a digital camera, or a scan of a traditional photograph
MICROSCOPY	Images from a microscope: including whole slide, confocal, electron microscope, etc.
RADIOLOGY	Any radiology image: including X-ray, MRI, ultrasound
