value	description
CMV	Cytomegalovirus
FOAMY	Simian Foamy Virus (SFV)
HERB	Herpes B
HERPES B	Herpes B
HVP2	Herpes Virus Papio 2
MEASLES	Measles
RFHV	Retroperitoneal Fibromatosis Herpesvirus
RhCMV	Rhesus Cytomegalovirus
RRV	Rhesus Rhadinovirus
SIV	Simian Immunodeficiency Virus
SRV	Simian Retrovirus
SRV1	Simian Retrovirus, serotype 1
STLV	Simian T-cell Leukemia virus
STLV1	Simian T-cell Leukemia virus, serotype 1
