value	description	category
AC	Acquired	Rearing Code
CC	Corn crib rearing/living	Rearing Code
FC	Field cage rearing/living	Rearing Code
MR	Mother-rearing (for indoors)	Rearing Code
NR	Nursery-rearing	Rearing Code
SH	Socially housed (outdoor social group)	Rearing Code
