value	description
CM	CM
DY	DAYS
GM	GM
HM	HRS:MIN
KG	KG
LI	LITERS
MG	MG
ML	ML
MO	MONTHS
SC	SQ CM
SM	SQ M
UN	UNITS
YR	YEARS
