unit	sample_type
V & I SAMPLE DATABASE	CELL SAMPLES
V & I SAMPLE DATABASE	SERUM SAMPLES
V & I SAMPLE DATABASE	VIRUS SAMPLES
V & I SAMPLE DATABASE	OTHER SAMPLES
TARANTAL LAB DATABASE	CELL SAMPLES
TARANTAL LAB DATABASE	TISSUE HARVESTS
PDL SAMPLE DATABASE	CELL SAMPLES
PDL SAMPLE DATABASE	VIRUS INOCULUM
RESPIRATORY DISEASES	CELL SAMPLES
PDL SAMPLE DATABASE	DIAGNOSTIC CONTROLS
TEST FREEZERDB	CELL SAMPLES
TEST FREEZERDB	TISSUE HARVESTS
