value	description
C	Chinese Production Colony
G	SPF/Indian/A01 Production Colony
H	Hybrid Production Surplus
L	Center Long-Term Breeding Pool
N	NICHD Breeding Colony
O	Other Colony
P	Primate Testing Facility
R	Center Research Breeding Pool
S	Specific Pathogen Free Pool
X	Center Research Non-Breeding Pool
