value	title	description
PBARRY	Peter Barry	Molecular virologist at Center of Comparative Medicine (CCM)
MA	Microbiological Associates
SRRL	Pathogen Detection Core Lab (PDL)	Used to be Simian Retrovirus Lab (SRL)
NIH	National Institutes of Health
SW	South West NPRC
